exp_name,model,dataset,optimizer,learning_rate,batch_size,augmentation,epoch,train_loss,train_acc,test_loss,test_acc
exp17_resnet18_CIFAR10_bs32,resnet18,CIFAR10,adam,0.001,32,none,15,0.1050,96.32,1.0627,77.17
exp17_resnet18_CIFAR10_bs32,resnet18,CIFAR10,adam,0.001,32,none,20,0.0715,97.55,1.1070,77.20
exp18_resnet18_CIFAR10_bs128,resnet18,CIFAR10,adam,0.001,128,none,5,0.5614,80.27,0.8207,72.10
exp18_resnet18_CIFAR10_bs128,resnet18,CIFAR10,adam,0.001,128,none,10,0.2021,92.92,0.9695,74.92
exp18_resnet18_CIFAR10_bs128,resnet18,CIFAR10,adam,0.001,128,none,15,0.1003,96.48,1.1337,75.45
exp18_resnet18_CIFAR10_bs128,resnet18,CIFAR10,adam,0.001,128,none,20,0.0656,97.73,1.2519,76.06
exp19_resnet18_CIFAR10_lr0.001,resnet18,CIFAR10,adam,0.001,64,none,5,0.5728,79.95,0.7387,75.55
exp19_resnet18_CIFAR10_lr0.001,resnet18,CIFAR10,adam,0.001,64,none,10,0.2051,92.82,0.8749,76.97
exp19_resnet18_CIFAR10_lr0.001,resnet18,CIFAR10,adam,0.001,64,none,15,0.1020,96.42,1.0482,76.90
exp19_resnet18_CIFAR10_lr0.001,resnet18,CIFAR10,adam,0.001,64,none,20,0.0712,97.61,1.1868,76.12
exp20_resnet18_CIFAR10_lr0.01,resnet18,CIFAR10,adam,0.01,64,none,5,0.7082,75.26,0.8818,71.06
exp20_resnet18_CIFAR10_lr0.01,resnet18,CIFAR10,adam,0.01,64,none,10,0.2953,89.80,0.8608,75.45
exp20_resnet18_CIFAR10_lr0.01,resnet18,CIFAR10,adam,0.01,64,none,15,0.1391,95.21,1.0710,75.48
exp20_resnet18_CIFAR10_lr0.01,resnet18,CIFAR10,adam,0.01,64,none,20,0.0992,96.64,1.2516,74.98
